ROWNUM;NAME;LOCATION_DESCRIPTION;CAPACITY;DEPART_AFFILITAION;OPERATING_ORG_NAME;OPERATING_ORG_PHONE;X_WGS;Y_WGS;
1;"Велосипедная парковка №11001 ""Метро Арбатская, Арбатско-Покровской линии""";"Парковка около метро Арбатская Арбатско-Покровской линии метрополитена";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6038";"55,7526";
2;"Велосипедная парковка №11002 ""Метро Арбатская,  Филевской линии""";"Парковка около метро Арбатская  Филевской линии метрополитена";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6007";"55,7519";
3;"Велосипедная парковка №11006 ""Метро Боровицкая""";"Парковка рядом с метро Боровицкая";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6093";"55,7505";
4;"Велосипедная парковка №11015 ""Метро Кузнецкий мост""";"Парковка вблизи метро Кузнецкий мост";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6239";"55,7609";
5;"Велосипедная парковка №11024 ""Большая Якиманка""";"ул. Большая Якиманка, м. Октябрьская Метро Октбярьская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6121";"55,729";
6;"Велосипедная парковка №11045 ""Трубная площадь""";"Трубная площадь. Рядом с метро Трубная";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6218";"55,7669";
7;"Велосипедная парковка №11046 ""Сретенский бульвар, напротив  д. 11""";"Сретенский бульвар, напротив  д. 11. Рядом с метро Тургеневская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6364";"55,7668";
8;"Велосипедная парковка №11050 ""Цветной бульвар, 17""";"Цветной бульвар, 17 Метро «Цветной бульвар».";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6203";"55,7717";
9;"Велосипедная парковка №11052 ""Площадь Мясницкие ворота, 1с3""";"Площадь Мясницкие ворота 1с3. Рядом с метро Чистые пруды";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6384";"55,7649";
10;"Велосипедная парковка №21001 ""2-й Зачатьевский переулок, 5с3""";"2-й Зачатьевский переулок, 5с3. Монастырь, Жилые районы";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6";"55,7404";
11;"Велосипедная парковка №21004 ""Проспект Академика Сахарова, 10""";"просп. Академика Сахарова, 10. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,642";"55,7687";
12;"Велосипедная парковка №21006 ""Арбат, 2/1""";"Рядом с д. 2/1 по ул. Арбат. Вблизи Альфа Арбат центр";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5993";"55,7524";
13;"Велосипедная парковка №21008 ""Земляной Вал, 33""";"ул. Земляной Вал, 33. Атриум";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6591";"55,7572";
14;"Велосипедная парковка №21014 ""Болотная, 18""";"Болотная улица, 18. Офисы";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,622";"55,7461";
15;"Велосипедная парковка №21017 ""Большая Молчановка, 8""";"Большая Молчановка,8. Магазины, Рестораны";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5957";"55,7533";
16;"Велосипедная парковка №21018 ""Большая Никитская, 2""";"Вблизи д. 2 по ул. Большая Никитская. Парковка около МГУ";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6117";"55,7549";
17;"Велосипедная парковка №21019 ""Большая Ордынка, 24""";"Большая Ордынка, 24. ГК Росатом";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6237";"55,7399";
18;"Велосипедная парковка №21020 ""Большая Ордынка, 40с5""";"Большая Ордынка, 40С5. Бизнес-Центр Легион";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6205";"55,7366";
19;"Велосипедная парковка №21022 ""Большая полянка, 37с3""";"Большая полянка, 37С3. Церковь";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6201";"55,7353";
20;"Велосипедная парковка №21023 ""Большая Сухаревская площадь, 2с1""";"Большая Сухаревская площадь, 2, стр1. Рядом метро Сухаревская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6329";"55,7723";
21;"Велосипедная парковка №21024 ""Большая Татарская, 35с4""";"ул. Большая Татарская, 35, стр. 4. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6359";"55,7369";
22;"Велосипедная парковка №21026 ""Большая Якиманка, 32""";"Ул. Большая Якиманка, 32. Жилые районы";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6124";"55,7348";
23;"Велосипедная парковка №21029 ""Большой Знаменский переулок, 21""";"Большой Знаменский пер, 21. Генеральный Штаб ВС РФ";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6029";"55,7491";
24;"Велосипедная парковка №21033 ""Большой Овчинниковский  переулок, 16""";"Овчинниковский Б. пер., 16. Торговая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6301";"55,7445";
25;"Велосипедная парковка №21035 ""Валовая улица, 28""";"Валовая улица, 28. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,627";"55,7304";
26;"Велосипедная парковка №21037 ""Волхонка, 5/6с4""";"Вблизи д. 5/6с4 по ул.Волхонка. Парковка в офисно-деловом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6094";"55,748";
27;"Велосипедная парковка №21040 ""Моховая, 11к11""";"Вблизи  ул. Моховая,д. 11к11. Парковка рядом с Геологическим музеем";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6131";"55,7557";
28;"Велосипедная парковка №21041 ""Волхонка, 12""";"Ул. Волхонка 12 ГМИИ Пушкина";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6052";"55,7473";
29;"Велосипедная парковка №21042 ""Гоголевский бульвар, 10с1""";"Гоголевский бульвар 10с1. Рядом Московский музей современного искусства и Музей Шахмат Центрального Дома Шахматиста им. Ботвинника М.М.";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6003";"55,7471";
30;"Велосипедная парковка №21043 ""Николоямская улица, 1""";"Николоямская улица, 1. Рядом государственная библиотека Иностранной Литературы им. Рудомино М.И.";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6474";"55,7486";
31;"Велосипедная парковка №21044 ""Петровка, 29с1""";"Петровка 29с1, рядом музей Петровские ворота и Государственный Литературный Музей";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6153";"55,7664";
32;"Велосипедная парковка №21048 ""Нижняя Радищевская, напротив д. 2""";"Напротив д 2 по Нижняя Радищевская улице. Рядом Дом Русского Зарубежья им. Александра Солженицына";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6516";"55,7429";
33;"Велосипедная парковка №21051 ""Житная, 14с1""";"Житная ул. 14С1 Минюст";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6154";"55,7305";
34;"Велосипедная парковка №21052 ""Житная, 16""";"Житная ул. 16 МВД";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6133";"55,7311";
35;"Велосипедная парковка №21053 ""Земляной Вал, 59/2с1""";"улица Земляной Вал, 59/2, стр. 1. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,657204";"55,748662";
36;"Велосипедная парковка №21054 ""Зубовский бульвар, 4с1""";"Зубовский бульвар 4С1  Бизнес-Центр";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5899";"55,7376";
37;"Велосипедная парковка №21062 ""Тверская, 6с7""";"Вблизи д.6с7 по ул. Тверская. Парковка на пешеходной улице";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6127";"55,7599";
38;"Велосипедная парковка №21063 ""Площадь Цезаря Кунникова""";"Площадь Цезаря Кунникова. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,655";"55,7638";
39;"Велосипедная парковка №21064 ""Новый Арбат, 24""";"Новый Арбат, 24 Кинотеатр Октябрь";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5875";"55,7531";
40;"Велосипедная парковка №21065 ""Серафимовича, 2к8""";"Ул. Серафимовича 2К8 Кинотеатр Ударник";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6144";"55,7432";
41;"Велосипедная парковка №21066 ""Китайгородский проезд, 7""";"Китайгородский проезд, 7. Поликлиника, почтовое отделение";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6345";"55,7525";
42;"Велосипедная парковка №21069 ""Котельническая набережная, 1/15кб""";"Котельническая набережная, 1/15кб. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,64236";"55,747246";
43;"Велосипедная парковка №21073 ""Кузнецкий мост, 11с1""";"Вблизи д.11с1 на ул.Кузнецкий мост. Парковка расположена в офисно-деловом и туристическом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6219";"55,7622";
44;"Велосипедная парковка №21074 ""Кузнецкий мост, 2с2""";"Вблизи д. 2с.2.по ул. Кузнецкий мост. Парковка близи пешеходной улицы с плотной сетью предприятий общественного питания";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,616";"55,7605";
45;"Велосипедная парковка №21075 ""Лаврушинский переулок, 17с2""";"Лаврушинский переулок 17С2 Сквер, жилые дома";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6217";"55,7411";
46;"Велосипедная парковка №21076 ""Малая Дмитровка, 6""";"Малая Дмитровка, 6 Ленком";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6067";"55,7678";
47;"Велосипедная парковка №21080 ""Лубянский проезд, 27/1с1""";"Лубянский пр-д, 27/1, стр. 1. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6352";"55,7541";
48;"Велосипедная парковка №21084 ""Малая Сухаревская площадь, 12""";"Малая Сухаревская площадь, 12. Рядом торговый центр";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6315";"55,7724";
49;"Велосипедная парковка №21089 ""Арбат, 52с1""";"Ул. Арбат 52С1. МИД РФ, Макдольдс";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5835";"55,7472";
50;"Велосипедная парковка №21090 ""Садово-самотечная, 10с1""";"Садово-самотечная, 10с1. Минрегионразвития";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6153";"55,7731";
51;"Велосипедная парковка №21092 ""Тверской бульвар, 22""";"Тверской бульвар, 22. МХАТ им. Горького";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6037";"55,7616";
52;"Велосипедная парковка №21095 ""Мясницкая улица, 39с1""";"Мясницкая улица, 39с1. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,641";"55,7677";
53;"Велосипедная парковка №21099 ""Трубная площадь, 2""";"пл. Трубная, 2.Неглинная Плаза";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6224";"55,7666";
54;"Велосипедная парковка №21101 ""Неглинная, 8/10""";"Неглинная улица, 8/10. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6208";"55,7613";
55;"Велосипедная парковка №21102 ""Большая Никитская, 12""";"Пересечение Большой Никитской улицы и Никитского бульвара. Общественно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6006";"55,7555";
56;"Велосипедная парковка №21103 ""Никитский бульвар, 7а""";"Никитский бульвар 7а. Вблизи музей Гоголя";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5998";"55,7542";
57;"Велосипедная парковка №21104 ""Никольская, 25""";"Вблизи д. 25 по ул.Никольская.  Парковка около метро Лубянка";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6249";"55,7591";
58;"Велосипедная парковка №21107 ""Новый Арбат, 11с1""";"Ул. Новый Арбат 11с1. Рядом Торгово-офисный центр Мидлент-Плаза";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5957";"55,752";
59;"Велосипедная парковка №21113 ""Крымский Вал, 9с2""";"Вблизи д. 9с2 по ул. Крымский Вал. Парковка при въезде в Парк Горького";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6027";"55,7321";
60;"Велосипедная парковка №21114 ""Парк Музеон""";"Вблизи входа в парк Музеон";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5997";"55,7265";
61;"Велосипедная парковка №21115 ""Патриаршие пруды""";"Патриаршие пруды";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5924";"55,7639";
62;"Велосипедная парковка №21116 ""Певческий переулок, 1/2с1""";"Певческий переулок, 1/2с1. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6422";"55,7519";
63;"Велосипедная парковка №21118 ""Петровка, 38""";"Петровка, 38 ГУ МВД";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6126";"55,7703";
64;"Велосипедная парковка №21119 ""Петровка, 7""";"Вблизи д. 7 по ул.Петровка. Парковка расположена в офисно-деловом и туристическом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6171";"55,7623";
65;"Велосипедная парковка №21121 ""Площадь Красные ворота""";"Пл. Красные ворота. Рядом метро Красные ворота";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6493";"55,7684";
66;"Велосипедная парковка №21122 ""Площадь Покровские ворота, 17""";"Между д. 17 Площадь Покровские ворота и Чистыми прудами";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6457";"55,7601";
67;"Велосипедная парковка №21123 ""Площадь Пречистенские ворота""";"Площадь Пречистенские ворота. Напротив выходы из метро Кропоткинская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6018";"55,7447";
68;"Велосипедная парковка №21124 ""Пересечение Покровского бульвара и Подколокольного переулка""";"Пересечение Покровского бульвара и Подколокольного переулка. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6481";"55,7554";
69;"Велосипедная парковка №21127 ""Пересечение Покровского бульвара и Казарменного переулка""";"Пересечение Покровского бульвара и Казарменного переулка. Офисно-деловая зона.  Рядом Милютинский сад";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,649";"55,756";
70;"Велосипедная парковка №21131 ""Пречистенская набережная, 45/1с2а""";"Пречистенская наб. Вблизи д. 45/1с2а. Парковка в офисно-деловом и жилом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,609055";"55,746677";
71;"Велосипедная парковка №21132 ""Пречистенский переулок, 7А""";"Пречистенский переулок 7А Институт открытого образования";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5928";"55,7432";
72;"Велосипедная парковка №21133 ""Пушкинская площадь""";"Парковка на Пушкинской площади. Парковка расположена в офисно-деловом и туристическом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6074";"55,7655";
73;"Велосипедная парковка №21136 ""Пятницкая улица, напротив д.18""";"Напротив д. 18 по Пятницкой улице. Рядом метро Новокузнецкая";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,628618";"55,742303";
74;"Велосипедная парковка №21137 ""Пятницкая, 69""";"ул. Пятницкая, 69. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6276";"55,7318";
75;"Велосипедная парковка №21138 ""Рождественка, 1""";"Вблизи д. 1 по ул.Рождественка. Парковка расположена в офисно-деловом и туристическом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6236";"55,7604";
76;"Велосипедная парковка №21139 ""Метро Библиотеки им.Ленина""";"Парковка перед зданием Библиотеки им.Ленина, около выхода из метро";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6089";"55,7518";
77;"Велосипедная парковка №21141 ""Сад Эрмитаж""";"Сад Эрмитаж Сад Эрмитаж, театры";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6105";"55,7707";
78;"Велосипедная парковка №21142 ""Садовая-Самотечная, 1""";"ул. Садовая-Самотечная, 1. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6124";"55,7738";
79;"Велосипедная парковка №21146 ""Серебряническая набережная, 29""";"Серебряническая набережная, 29. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6541";"55,7505";
80;"Велосипедная парковка №21150 ""Сретенка, 29""";"Ул. Сретенка, 29.  Рядом с Московским Городским Психолого-Педагогическим университетом";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6307";"55,7719";
81;"Велосипедная парковка №21152 ""Петровка, 11""";"Вблизи д.11, ул. Петровка. Парковка на пешеходной улице";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6167";"55,7629";
82;"Велосипедная парковка №21153 ""Тверская площадь""";"Парковка на Тверской площади. Парковка расположена в офисно-деловом и туристическом районе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6093";"55,7618";
83;"Велосипедная парковка №21154 ""Тверская, 2""";"Вблизи д. 2 по Тверской улице. Парковка около метро Охотный ряд";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,615903";"55,756837";
84;"Велосипедная парковка №21156 ""Тверской бульвар, 13с1""";"Тверской бульвар 13С1 Группа Онэксим, рестораны, компании";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5992";"55,7604";
85;"Велосипедная парковка №21158 ""Арбат, 26""";"Ул. Арбат 26 Театр им. Вахтангова";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5915";"55,7499";
86;"Велосипедная парковка №21160 ""Большая Садовая, 16с1""";"Большая Садовая, 16С1 Театр Моссовета";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5957";"55,7672";
87;"Велосипедная парковка №21170 ""Цветной бульвар, 13""";"Цветной бульвар,13 Цирк на цветном бульваре";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,62";"55,7706";
88;"Велосипедная парковка №21171 ""Петровка, 2""";"Вблизи д.2 по ул.Петровка. Парковка при ЦУМе";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6199";"55,7605";
89;"Велосипедная парковка №31016 ""Покровский бульвар, 11с2""";"Покровский бульвар, 11с2. Рядом Высшая школа экономики";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6487";"55,7545";
90;"Велосипедная парковка №31021 ""Крымский вал, 8к2""";"Крымский вал 8К2. МАХЛ";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,607391";"55,73182";
91;"Велосипедная парковка №31022 ""Садовническая, 33с1""";"ул. Садовническая, 33, стр. 1. Рядом с Московским Государственным университетом Дизайна и Технологии";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,63738";"55,745644";
92;"Велосипедная парковка №31023 ""Большой Трехсвятительский переулок, 3""";"Большой Трехсвятительский пер., 3. Рядом Московский государственный институт электроники и математики";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,646492";"55,75523";
93;"Велосипедная парковка №31024 ""Остоженка, 38""";"Ул. Остоженка, 38. МГЛУ";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,594779";"55,738408";
94;"Велосипедная парковка №31025 ""Пречистенская набережная, 11""";"Вблизи д. 11, Пречистенская набережная. Парковка при экономико-энергетическом колледже";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,60346";"55,737651";
95;"Велосипедная парковка №31031 ""Малый Златоустинский переулок, 7с1""";"Малый Златоустинский пер., 7, стр. 1. Государственный университет Министерства Финансов Российской Федерации";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6342";"55,7598";
96;"Велосипедная парковка №31036 ""Земляной Вал, 44а""";"ул. Земляной Вал, 44а. Школа 1397";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6556";"55,7538";
97;"Велосипедная парковка №11019 ""Метро Маяковская""";"Метро Маяковская Метро Маяковская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,596482";"55,769296";
